Name, "Atomic Number", "Symbol", "Mass", "Exact Mass", "Covalent Radius", "Van der Waals Radius"
"Hydrogen", "1", "H", "1,00794 u", "1.007825032", "37 pm", "120 pm"
"Helium", "2", "He", "4,0026 u", "4.002603254", "32 pm", "140 pm"
"Lithium", "3", "Li", "6,941 u", "7.01600455", "134 pm", "220 pm"
"Beryllium", "4", "Be", "9,01218 u", "9.0121822", "90 pm", "190 pm"
"Boron", "5", "B", "10,811 u", "11.0093054", "82 pm", "180 pm"
"Carbon", "6", "C", "12,0107 u", "12", "77 pm", "170 pm"
"Nitrogen", "7", "N", "14,0067 u", "14.003074", "75 pm", "160 pm"
"Oxygen", "8", "O", "15,9994 u", "15.99491462", "73 pm", "155 pm"
"Fluorine", "9", "F", "18,9984 u", "18.99840322", "71 pm", "150 pm"
"Neon", "10", "Ne", "20,1797 u", "19.99244018", "69 pm", "154 pm"
"Sodium", "11", "Na", "22,9898 u", "22.98976928", "154 pm", "240 pm"
"Magnesium", "12", "Mg", "24,305 u", "23.9850417", "130 pm", "220 pm"
"Aluminium", "13", "Al", "26,9815 u", "26.98153863", "118 pm", "210 pm"
"Silicon", "14", "Si", "28,0855 u", "27.97692653", "111 pm", "210 pm"
"Phosphorus", "15", "P", "30,9738 u", "30.97376163", "106 pm", "195 pm"
"Sulfur", "16", "S", "32,065 u", "31.972071", "102 pm", "180 pm"
"Chlorine", "17", "Cl", "35,453 u", "34.96885268", "99 pm", "180 pm"
"Argon", "18", "Ar", "39,948 u", "39.96238312", "97 pm", "188 pm"
"Potassium", "19", "K", "39,0983 u", "38.96370668", "196 pm", "280 pm"
"Calcium", "20", "Ca", "40,078 u", "39.96259098", "174 pm", "240 pm"
"Scandium", "21", "Sc", "44,9559 u", "44.9559119", "144 pm", "230 pm"
"Titanium", "22", "Ti", "47,867 u", "47.9479463", "136 pm", "215 pm"
"Vanadium", "23", "V", "50,9415 u", "50.9439595", "125 pm", "205 pm"
"Chromium", "24", "Cr", "51,9961 u", "51.9405075", "127 pm", "205 pm"
"Manganese", "25", "Mn", "54,938 u", "54.9380451", "139 pm", "205 pm"
"Iron", "26", "Fe", "55,845 u", "55.9349375", "125 pm", "205 pm"
"Cobalt", "27", "Co", "58,9332 u", "58.933195", "126 pm", "200 pm"
"Nickel", "28", "Ni", "58,6934 u", "57.9353429", "121 pm", "200 pm"
"Copper", "29", "Cu", "63,546 u", "62.9295975", "138 pm", "200 pm"
"Zinc", "30", "Zn", "65,38 u", "63.9291422", "131 pm", "210 pm"
"Gallium", "31", "Ga", "69,723 u", "68.9255736", "126 pm", "210 pm"
"Germanium", "32", "Ge", "72,64 u", "73.9211778", "122 pm", "210 pm"
"Arsenic", "33", "As", "74,9216 u", "74.9215965", "119 pm", "205 pm"
"Selenium", "34", "Se", "78,96 u", "79.9165213", "116 pm", "190 pm"
"Bromine", "35", "Br", "79,904 u", "78.9183371", "114 pm", "190 pm"
"Krypton", "36", "Kr", "83,798 u", "83.911507", "110 pm", "202 pm"
"Rubidium", "37", "Rb", "85,4678 u", "84.91178974", "211 pm", "290 pm"
"Strontium", "38", "Sr", "87,62 u", "87.9056121", "192 pm", "255 pm"
"Yttrium", "39", "Y", "88,9059 u", "88.9058483", "162 pm", "240 pm"
"Zirconium", "40", "Zr", "91,224 u", "89.9047044", "148 pm", "230 pm"
"Niobium", "41", "Nb", "92,9064 u", "92.9063781", "137 pm", "215 pm"
"Molybdenum", "42", "Mo", "95,96 u", "97.9054082", "145 pm", "210 pm"
"Technetium", "43", "Tc", "98 u", "97.907216", "156 pm", "205 pm"
"Ruthenium", "44", "Ru", "101,07 u", "101.9043493", "126 pm", "205 pm"
"Rhodium", "45", "Rh", "102,906 u", "102.905504", "135 pm", "200 pm"
"Palladium", "46", "Pd", "106,42 u", "105.903486", "131 pm", "205 pm"
"Silver", "47", "Ag", "107,868 u", "106.905097", "153 pm", "210 pm"
"Cadmium", "48", "Cd", "112,411 u", "113.9033585", "148 pm", "220 pm"
"Indium", "49", "In", "114,818 u", "114.903878", "144 pm", "220 pm"
"Tin", "50", "Sn", "118,71 u", "119.9021947", "141 pm", "225 pm"
"Antimony", "51", "Sb", "121,76 u", "120.9038157", "138 pm", "220 pm"
"Tellurium", "52", "Te", "127,6 u", "129.9062244", "135 pm", "210 pm"
"Iodine", "53", "I", "126,904 u", "126.904473", "133 pm", "210 pm"
"Xenon", "54", "Xe", "131,293 u", "131.9041535", "130 pm", "216 pm"
"Caesium", "55", "Cs", "132,905 u", "132.9054519", "225 pm", "300 pm"
"Barium", "56", "Ba", "137,327 u", "137.9052472", "198 pm", "270 pm"
"Lanthanum", "57", "La", "138,905 u", "138.9063533", "169 pm", "250 pm"
"Cerium", "58", "Ce", "140,116 u", "139.9054387", "0 pm", "248 pm"
"Praseodymium", "59", "Pr", "140,908 u", "140.9076528", "0 pm", "247 pm"
"Neodymium", "60", "Nd", "144,242 u", "141.9077233", "0 pm", "245 pm"
"Promethium", "61", "Pm", "145 u", "144.912749", "0 pm", "243 pm"
"Samarium", "62", "Sm", "150,36 u", "151.9197324", "0 pm", "242 pm"
"Europium", "63", "Eu", "151,964 u", "152.9212303", "0 pm", "240 pm"
"Gadolinium", "64", "Gd", "157,25 u", "157.9241039", "0 pm", "238 pm"
"Terbium", "65", "Tb", "158,925 u", "158.9253468", "0 pm", "237 pm"
"Dysprosium", "66", "Dy", "162,5 u", "163.9291748", "0 pm", "235 pm"
"Holmium", "67", "Ho", "164,93 u", "164.9303221", "0 pm", "233 pm"
"Erbium", "68", "Er", "167,259 u", "165.9302931", "0 pm", "232 pm"
"Thulium", "69", "Tm", "168,934 u", "168.9342133", "0 pm", "230 pm"
"Ytterbium", "70", "Yb", "173,054 u", "173.9388621", "0 pm", "228 pm"
"Lutetium", "71", "Lu", "174,967 u", "174.9407718", "160 pm", "227 pm"
"Hafnium", "72", "Hf", "178,49 u", "179.94655", "150 pm", "225 pm"
"Tantalum", "73", "Ta", "180,948 u", "180.9479958", "138 pm", "220 pm"
"Tungsten", "74", "W", "183,84 u", "183.9509312", "146 pm", "210 pm"
"Rhenium", "75", "Re", "186,207 u", "186.9557531", "159 pm", "205 pm"
"Osmium", "76", "Os", "190,23 u", "191.9614807", "128 pm", "200 pm"
"Iridium", "77", "Ir", "192,217 u", "192.9629264", "137 pm", "200 pm"
"Platinum", "78", "Pt", "195,084 u", "194.9647911", "128 pm", "205 pm"
"Gold", "79", "Au", "196,967 u", "196.9665687", "144 pm", "210 pm"
"Mercury", "80", "Hg", "200,59 u", "201.970643", "149 pm", "205 pm"
"Thallium", "81", "Tl", "204,383 u", "204.9744275", "148 pm", "220 pm"
"Lead", "82", "Pb", "207,2 u", "207.9766521", "147 pm", "230 pm"
"Bismuth", "83", "Bi", "208,98 u", "208.9803987", "146 pm", "230 pm"
"Polonium", "84", "Po", "209 u", "208.9824304", "0 pm", "200 pm"
"Astatine", "85", "At", "210 u", "209.987148", "0 pm", "200 pm"
"Radon", "86", "Rn", "222 u", "222.0175777", "145 pm", "200 pm"
"Francium", "87", "Fr", "223 u", "223.0197359", "0 pm", "200 pm"
"Radium", "88", "Ra", "226 u", "226.0254098", "0 pm", "200 pm"
"Actinium", "89", "Ac", "227 u", "227.0277521", "0 pm", "200 pm"
"Thorium", "90", "Th", "232,038 u", "232.0380553", "0 pm", "240 pm"
"Protactinium", "91", "Pa", "231,036 u", "231.035884", "0 pm", "200 pm"
"Uranium", "92", "U", "238,029 u", "238.0507882", "0 pm", "230 pm"
"Neptunium", "93", "Np", "237 u", "237.0481734", "0 pm", "200 pm"
"Plutonium", "94", "Pu", "244 u", "244.064204", "0 pm", "200 pm"
"Americium", "95", "Am", "243 u", "243.0613811", "0 pm", "200 pm"
"Curium", "96", "Cm", "247 u", "247.070354", "0 pm", "200 pm"
"Berkelium", "97", "Bk", "247 u", "247.070307", "0 pm", "200 pm"
"Californium", "98", "Cf", "251 u", "251.079587", "0 pm", "200 pm"
"Einsteinium", "99", "Es", "252 u", "252.08298", "0 pm", "200 pm"
"Fermium", "100", "Fm", "257 u", "257.095105", "0 pm", "200 pm"
"Mendelevium", "101", "Md", "258 u", "258.098431", "0 pm", "200 pm"
"Nobelium", "102", "No", "259 u", "259.10103", "0 pm", "200 pm"
"Lawrencium", "103", "Lr", "262 u", "262.10963", "0 pm", "200 pm"
"Rutherfordium", "104", "Rf", "265 u", "261.10877", "0 pm", "200 pm"
"Dubnium", "105", "Db", "268 u", "262.11408", "0 pm", "200 pm"
"Seaborgium", "106", "Sg", "271 u", "263.11832", "0 pm", "200 pm"
"Bohrium", "107", "Bh", "272 u", "264.1246", "0 pm", "200 pm"
"Hassium", "108", "Hs", "270 u", "265.13009", "0 pm", "200 pm"
"Meitnerium", "109", "Mt", "276 u", "268.13873", "0 pm", "200 pm"
"Darmstadtium", "110", "Ds", "281 u", "271.14606", "0 pm", "0 pm"
"Roentgenium", "111", "Rg", "280 u", "272.15362", "0 pm", "0 pm"
"Copernicium", "112", "Cn", "285 u", "285.17411", "0 pm", "0 pm"
"Ununtrium", "113", "Uut", "284 u", "284.17808", "0 pm", "0 pm"
"Ununquadium", "114", "Uuq", "289 u", "289.18728", "0 pm", "0 pm"
"Ununpentium", "115", "Uup", "288 u", "288.19249", "0 pm", "0 pm"
"Ununhexium", "116", "Uuh", "293 u", "292.19979", "0 pm", "0 pm"
"Ununseptium", "117", "Uus", "Unknown Value", "No Data", "0 pm", "0 pm"
"Ununoctium", "118", "Uuo", "294 u", "No Data", "0 pm", "0 pm"
